Id,Designation,Designator,Package,Quantity,Manufacturer,Manufacturer Part,Supplier Link
1,USB_C_Receptacle_USB2.0,J3,GCTUSB4125GFA190,1,Global Connector Technology (GCT) ,USB4125-GF-A-0190 ,640-USB4125-GF-A-190
2,TLC555xD,U1,SOIC-8_3.9x4.9mm_P1.27mm,1,Texas Instruments ,TLC555CD ,595-TLC555CD
3,D_Schottky,"D3,D1,D2",D_SOD-123,3,STMicroelectronics ,STPS0530Z ,511-STPS0530Z
4,3.9k,"R22,R30,R29,R31",R_0402_1005Metric,4,YAGEO,RT0402FRE073K9L,603-RT0402FRE073K9L
5,PDB12-H4301-103BF,VR1,PDB12H4301103BF,1,Bourns ,PDB12-H4301-103BF ,652-PDB12-H4301103BF
6,5.6k,"R23,R13,R12,R10",R_0402_1005Metric,4,YAGEO,RT0402FRE075K6L,603-RT0402FRE075K6L
7,39k,R21,R_0402_1005Metric,1,YAGEO,RT0402FRE0739KL,603-RT0402FRE0739KL
8,6.8k,"R9,R8,R11,R7",R_0402_1005Metric,4,YAGEO,RT0402FRE076K8L,603-RT0402FRE076K8L
9,MMBT3904L,Q2,SOT-23,1,onsemi,SMMBT3904LT1G,863-SMMBT3904LT1G
10,4.7k,"R15,R14",R_0402_1005Metric,2,YAGEO,RT0402FRE074K7L,603-RT0402FRE074K7L
11,2.7k,R25,R_0402_1005Metric,1,YAGEO,RT0402DRE072K71L,603-RT0402DRE072K71L
12,100k,R20,R_0402_1005Metric,1,YAGEO,RT0402FRE07100KL,603-RT0402FRE07100KL
13,3.3k,"R24,R3,R26,R28,R27",R_0402_1005Metric,5,YAGEO,RT0402FRE073K3L,603-RT0402FRE073K3L
14,33k,"R17,R18,R19",R_0402_1005Metric,3,YAGEO,RT0402FRE0733KL,603-RT0402FRE0733KL
15,5.1k,"R1,R2",R_0201_0603Metric,2,Vishay,TNPW02015K10BEED,71-TNPW02015K10BEED
16,10n,C3,C_0201_0603Metric,1,Samsung Electro-Mechanics,CL03A103KP3NNNC,187-CL03A103KP3NNNC
17,0.47u,"C6,C8,C7",C_0603_1608Metric,3,Samsung Electro-Mechanics ,CL10A474KO8NNNC ,187-CL10A474KO8NNNC
18,47n,C4,C_0402_1005Metric,1,Samsung Electro-Mechanics,CL10B473KB8NNND ,187-CL10B473KB8NNND
19,100n,C1,C_0402_1005Metric,1,Samsung Electro-Mechanics,CL05A104KP5NNNC ,187-CL05A104KP5NNNC
20,CMS-160925-078SP-67,LS1,CMS160925078SP67,1,CUI Devices,CMS-160925-078SP-67 ,490-CMS160925078SP67
21,1u,"C5,C2",C_0603_1608Metric,2,Samsung Electro-Mechanics,CL10A105KP8NNNL ,187-CL10A105KP8NNNL
22,220k,R16,R_0402_1005Metric,1,YAGEO,RT0402FRE07220KL,603-RT0402FRE07220KL
23,220u,C9,CP_Elec_6.3x7.7,1,Lelon,VZL221M1CTR-0607 ,140-VZL221M1CTR-0607
24,PDB12-H4301-105BF,VR2,PDB12H4301105BF,1,Bourns ,PDB12-H4301-105BF,652-PDB12-H4301105BF
25,68k,R4,R_0402_1005Metric,1,YAGEO,RT0402FRE0768KL,603-RT0402FRE0768KL
26,8.2k,R6,R_0402_1005Metric,1,YAGEO,RT0402FRE078K2L,603-RT0402FRE078K2L
27,2N7002L,Q1,SOT-23,1,onsemi,2N7002LT1G ,863-2N7002LT1G
28,1k,R32,R_0402_1005Metric,1,YAGEO,RT0402FRE071KL,603-RT0402FRE071KL
29,1.3k,R5,R_0402_1005Metric,1,YAGEO,RT0402FRE071K3L,603-RT0402FRE071K3L
30,R_Potentiometer_Trim(50),RV1,Potentiometer_Bourns_3314J_Vertical,1,Bourns ,3314J-1-500E ,652-3314J-1-500E
31,SW1,SW_SPDT,OS102011MA1QN1,1,C&K Switches,OS102011MA1QN1,611-OS102011MA1QN1
